Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-86-8671-01A-11D-2393-08	12	7	6	0	8
TCGA-86-8672-01A-21D-2393-08	237	23	0	0	55
TCGA-86-8673-01A-11D-2393-08	383	0	0	44	62
TCGA-86-8674-01A-21D-2393-08	258	0	0	0	46
TCGA-86-A456-01A-11D-A24D-08	277	0	0	44	43
TCGA-86-A4JF-01A-11D-A24P-08	313	227	24	559	199
TCGA-86-A4P7-01A-11D-A24P-08	14	7	1	1	37
TCGA-91-6828-01A-11D-1855-08	228	14	0	0	34
TCGA-91-6829-01A-21D-1855-08	515	6	3	51	89
TCGA-91-6830-01A-11D-1945-08	6	1	4	10	201
TCGA-91-6831-01A-11D-1855-08	198	0	21	33	25
TCGA-91-6835-01A-11D-1855-08	42	10	0	0	26
TCGA-91-6836-01A-21D-1855-08	380	9	22	24	35
TCGA-91-6840-01A-11D-1945-08	12	11	16	1	84
TCGA-91-6847-01A-11D-1945-08	24	27	0	0	23
TCGA-91-6849-01A-11D-1945-08	88	0	15	0	14
TCGA-91-7771-01A-11D-2167-08	136	12	0	0	46
TCGA-91-8496-01A-11D-2393-08	0	0	0	19	8
TCGA-91-A4BC-01A-11D-A24D-08	374	4	21	26	30
TCGA-91-A4BD-01A-11D-A24D-08	0	6	0	10	7
TCGA-93-7347-01A-11D-2184-08	93	0	0	12	17
TCGA-93-7348-01A-21D-2036-08	45	10	9	23	25
TCGA-93-8067-01A-11D-2284-08	0	0	54	0	498
TCGA-93-8067-01C-01D-A38P-08	0	0	27	0	259
TCGA-93-8067-01D-01D-A38P-08	23	1	8	6	151
TCGA-93-A4JO-01A-21D-A24P-08	19	0	0	10	21
TCGA-93-A4JP-01A-11D-A24P-08	11	2	13	5	24
TCGA-93-A4JP-01D-01D-A38P-08	30	26	15	0	45
TCGA-93-A4JP-01E-01D-A38P-08	28	15	17	4	40
TCGA-95-7039-01A-11D-1945-08	1067	12	27	85	101
TCGA-95-7043-01A-11D-1945-08	986	40	21	11	79
TCGA-95-7562-01A-11D-2238-08	357	11	4	18	11
TCGA-95-7567-01A-11D-2063-08	325	102	22	442	48
TCGA-95-7944-01A-11D-2184-08	0	0	26	0	237
TCGA-95-7947-01A-11D-2184-08	203	2	52	46	274
TCGA-95-7948-01A-11D-2184-08	0	0	15	0	129
TCGA-95-8494-01A-11D-2323-08	0	24	14	0	74
TCGA-95-A4VK-01A-11D-A25L-08	223	18	12	5	16
TCGA-95-A4VN-01A-11D-A25L-08	408	0	27	0	47
TCGA-97-7547-01A-11D-2036-08	95	10	3	13	54
TCGA-97-7552-01A-11D-2036-08	4	11	6	8	2
TCGA-97-7553-01A-21D-2036-08	22	17	0	0	6
TCGA-97-7554-01A-11D-2036-08	364	5	13	36	33
TCGA-97-7938-01A-11D-2167-08	317	8	10	27	56
TCGA-97-8171-01A-11D-2284-08	24	25	0	0	6
TCGA-97-8174-01A-11D-2284-08	107	17	13	7	25
TCGA-97-8175-01A-11D-2284-08	17	5	0	0	8
TCGA-97-8177-01A-11D-2284-08	7	4	0	14	9
TCGA-97-8552-01A-11D-2393-08	11	8	0	0	4
TCGA-97-A4LX-01A-11D-A24P-08	174	0	0	0	13
TCGA-97-A4M0-01A-11D-A24P-08	273	0	18	29	86
TCGA-97-A4M1-01A-11D-A24P-08	12	16	0	0	15
TCGA-97-A4M3-01A-11D-A24P-08	157	5	11	7	38
TCGA-97-A4M6-01A-11D-A24P-08	0	4	0	19	10
TCGA-97-A4M7-01A-11D-A24P-08	274	2	1	24	15
TCGA-99-7458-01A-11D-2036-08	419	11	3	35	30
TCGA-99-8025-01A-11D-2238-08	246	27	10	53	180
TCGA-99-8028-01A-11D-2238-08	358	0	0	43	0
TCGA-99-8032-01A-11D-2238-08	318	20	14	15	38
TCGA-99-8033-01A-11D-2238-08	121	8	8	23	18
TCGA-99-AA5R-01A-11D-A397-08	38	0	4	0	0
TCGA-A6-2671-01A-01D-1408-10	19	47	6	9	5
TCGA-A6-2672-01B-03D-2298-08	81	411	53	609	1
TCGA-A6-2675-01A-02D-1719-10	0	79	0	13	9
TCGA-A6-2677-01A-01D-A270-10	17	99	19	1	7
TCGA-A6-2677-01B-02D-A270-10	17	84	21	3	7
TCGA-A6-2678-01A-01D-1953-10	3	12	6	1	3
TCGA-A6-2679-01A-02D-1408-10	27	82	9	30	10
TCGA-A6-2680-01A-01D-1408-10	28	82	0	0	9
TCGA-A6-2681-01A-01D-1408-10	45	110	0	0	0
TCGA-A6-2682-01A-01D-1408-10	7	42	14	1	16
TCGA-A6-2683-01A-01D-1953-10	0	38	0	0	0
TCGA-A6-2684-01A-01D-A270-10	15	76	4	5	17
TCGA-A6-2684-01C-08D-A270-10	13	68	5	6	13
TCGA-A6-2685-01A-01D-1408-10	15	29	0	0	9
TCGA-A6-2686-01A-01D-1408-10	68	907	49	982	19
TCGA-A6-3807-01A-01W-0995-10	0	44	17	0	43
TCGA-A6-3808-01A-01W-0995-10	6	74	10	38	14
TCGA-A6-3810-01A-01D-A270-10	25	98	7	5	35
TCGA-A6-4105-01A-02D-1771-10	33	94	0	30	17
TCGA-A6-4107-01A-02D-1408-10	46	119	10	10	10
TCGA-A6-5656-01A-21D-1835-10	0	93	11	0	0
TCGA-A6-5656-01A-21D-A270-10	0	99	11	0	0
TCGA-A6-5657-01A-01D-1650-10	28	70	10	0	17
TCGA-A6-5659-01A-01D-1650-10	52	116	31	0	0
TCGA-A6-5659-01A-01D-A270-10	51	129	32	0	0
TCGA-A6-5659-01B-04D-A270-10	48	90	30	0	17
TCGA-A6-5660-01A-01D-1650-10	12	87	10	5	14
TCGA-A6-5661-01A-01D-1650-10	0	611	0	585	0
TCGA-A6-5662-01A-01D-1650-10	10	31	6	4	9
TCGA-A6-5664-01A-21D-1835-10	0	41	10	0	0
TCGA-A6-5665-01A-01D-1650-10	0	725	0	943	0
TCGA-A6-5666-01A-01D-1650-10	16	60	16	0	0
TCGA-A6-5667-01A-21D-1719-10	18	38	0	0	12
TCGA-A6-6138-01A-11D-1771-10	21	71	6	7	11
TCGA-A6-6142-01A-11D-1771-10	17	52	0	0	11
TCGA-A6-6649-01A-11D-1771-10	9	70	6	16	15
TCGA-A6-6650-01A-11D-1771-10	38	54	14	9	9
TCGA-A6-6650-01B-02D-A270-10	21	59	12	7	9
TCGA-A6-6651-01A-21D-1835-10	21	46	0	0	20
TCGA-A6-6652-01A-11D-1771-10	20	42	0	12	11
TCGA-A6-6653-01A-11D-1771-10	0	664	0	407	0
TCGA-A6-6654-01A-21D-1835-10	0	200	0	0	0
TCGA-A6-6782-01A-11D-1835-10	40	60	24	4	21
TCGA-A6-A567-01A-31D-A28G-10	11	39	13	0	0
TCGA-A6-A56B-01A-31D-A28G-10	15	74	8	0	0
TCGA-A6-A5ZU-01A-11D-A28G-10	13	60	10	13	7
TCGA-AA-3488-01A-01D-1408-10	14	45	4	12	11
TCGA-AA-3489-01A-21D-1835-10	25	40	18	0	16
TCGA-AA-3492-01A-01D-1408-10	0	895	0	1149	0
TCGA-AA-3494-01A-01D-1408-10	25	66	0	0	0
TCGA-AA-3495-01A-01D-1408-10	24	82	9	0	9
TCGA-AA-3496-01A-21D-1835-10	7	68	11	4	7
TCGA-AA-3502-01A-01D-1408-10	16	143	27	2	12
TCGA-AA-3509-01A-01D-1408-10	0	79	0	0	14
TCGA-AA-3511-01A-21D-1835-10	0	60	24	0	30
TCGA-AA-3514-01A-02D-1953-10	0	31	0	0	0
TCGA-AA-3517-01A-01D-1953-10	0	12	0	0	3
TCGA-AA-3519-01A-02D-1953-10	0	12	7	7	0
TCGA-AA-3520-01A-01D-1953-10	0	28	0	0	0
TCGA-AA-3521-01A-01D-1953-10	0	15	0	0	0
TCGA-AA-3522-01A-01W-0831-10	0	18	7	0	0
TCGA-AA-3524-01A-02D-1953-10	0	8	0	0	5
TCGA-AA-3529-01A-02D-1953-10	0	18	0	0	3
TCGA-AA-3530-01A-01W-0995-10	25	71	0	0	0
TCGA-AA-3532-01A-01D-1953-10	0	13	5	0	0
TCGA-AA-3534-01A-01D-1953-10	0	31	0	0	0
TCGA-AA-3538-01A-01D-1953-10	0	7	0	4	5
TCGA-AA-3544-01A-01D-1953-10	0	16	4	5	0
TCGA-AA-3548-01A-01D-1953-10	0	23	0	0	0
TCGA-AA-3549-01A-02D-1953-10	0	12	0	6	0
TCGA-AA-3561-01A-01D-1953-10	0	17	0	0	0
TCGA-AA-3655-01A-02D-1719-10	2	50	2	25	8
TCGA-AA-3660-01A-01D-1719-10	14	70	17	15	7
TCGA-AA-3662-01A-01D-1719-10	22	54	7	0	0
TCGA-AA-3663-01A-01D-1719-10	93	358	39	1389	6
TCGA-AA-3672-01A-01W-0900-09	0	605	0	1061	0
TCGA-AA-3673-01A-01W-0900-09	14	59	0	0	0
TCGA-AA-3675-01A-02W-0900-09	0	87	0	0	13
TCGA-AA-3678-01A-01W-0900-09	0	60	11	0	0
TCGA-AA-3679-01A-02W-0900-09	21	44	0	0	9
TCGA-AA-3680-01A-01W-0900-09	0	82	27	0	0
TCGA-AA-3681-01A-01W-0900-09	0	111	0	0	15
TCGA-AA-3685-01A-02W-0900-09	16	56	0	0	15
TCGA-AA-3688-01A-01W-0900-09	19	37	12	0	7
TCGA-AA-3693-01A-01W-0900-09	60	71	0	0	29
TCGA-AA-3696-01A-01W-0900-09	17	51	8	7	8
TCGA-AA-3697-01A-01D-1719-10	75	83	6	1	39
TCGA-AA-3712-01A-21D-1719-10	26	24	17	9	83
TCGA-AA-3713-01A-21D-1719-10	0	447	0	492	0
TCGA-AA-3812-01A-01W-0900-09	28	61	14	3	12
TCGA-AA-3814-01A-01W-0900-09	12	70	10	4	11
TCGA-AA-3815-01A-01W-0995-10	24	381	31	432	10
TCGA-AA-3818-01A-01W-0900-09	40	71	21	5	15
TCGA-AA-3831-01A-01W-0900-09	10	56	18	9	12
TCGA-AA-3833-01A-01W-0900-09	0	287	0	321	0
TCGA-AA-3841-01A-01W-0900-09	15	52	0	0	8
TCGA-AA-3842-01A-01W-0995-10	21	65	0	0	15
TCGA-AA-3844-01A-01W-0995-10	65	46	0	0	17
TCGA-AA-3845-01A-01D-1981-10	61	421	43	440	3
TCGA-AA-3845-01A-01W-0995-10	70	340	52	415	9
TCGA-AA-3846-01A-01W-0995-10	19	56	6	1	15
TCGA-AA-3848-01A-01W-0900-09	32	105	2	1	18
TCGA-AA-3851-01A-01W-0995-10	18	74	0	0	0
TCGA-AA-3855-01A-01W-0995-10	20	92	4	3	26
TCGA-AA-3856-01A-01W-0900-09	0	54	8	0	0
TCGA-AA-3858-01A-01W-0900-09	14	48	0	0	0
TCGA-AA-3861-01A-01W-0995-10	31	82	8	0	0
TCGA-AA-3862-01A-01W-0995-10	15	49	6	15	11
TCGA-AA-3864-01A-01D-1981-10	0	1811	0	1068	0
TCGA-AA-3866-01A-01W-0995-10	25	80	5	3	9
TCGA-AA-3867-01A-01W-0995-10	0	78	0	0	20
TCGA-AA-3869-01A-01W-0995-10	0	53	14	0	12
TCGA-AA-3870-01A-01W-0995-10	26	79	7	10	4
TCGA-AA-3872-01A-01W-0995-10	0	38	14	0	25
TCGA-AA-3930-01A-01W-0995-10	36	73	15	20	63
TCGA-AA-3939-01A-01W-0995-10	0	85	0	0	34
TCGA-AA-3941-01A-01W-0995-10	20	71	7	3	10
TCGA-AA-3952-01A-01W-0995-10	29	52	0	0	11
TCGA-AA-3955-01A-02W-0995-10	40	57	0	0	36
TCGA-AA-3956-01A-02W-0995-10	9	77	8	9	29
TCGA-AA-3967-01A-01W-1073-09	36	87	0	0	33
TCGA-AA-3968-01A-01W-0995-10	37	77	13	0	0
TCGA-AA-3971-01A-01W-0995-10	17	45	0	0	26
TCGA-AA-3972-01A-01W-0995-10	16	56	9	0	13
TCGA-AA-3976-01A-01W-0995-10	0	70	12	0	13
TCGA-AA-3977-01A-01D-1981-10	0	0	4644	0	0
TCGA-AA-3977-01A-01W-0995-10	0	0	3905	0	0
TCGA-AA-3979-01A-01W-0995-10	13	70	9	27	31
TCGA-AA-3980-01A-02W-0995-10	14	63	13	1	12
TCGA-AA-3982-01A-02W-0995-10	14	67	14	9	21
TCGA-AA-3984-01A-02D-1981-10	0	719	4933	0	0
TCGA-AA-3984-01A-02W-0995-10	0	577	4337	0	0
TCGA-AA-3986-01A-02W-0995-10	20	64	8	0	0
TCGA-AA-3989-01A-01W-0995-10	20	66	5	20	4
TCGA-AA-A004-01A-01W-A00E-09	0	46	0	11	12
TCGA-AA-A00O-01A-02W-A00E-09	30	40	1	8	8
TCGA-AA-A00Z-01A-01D-A17O-10	0	11	0	0	0
TCGA-AA-A010-01A-01D-A17O-10	0	619	7122	1072	0
TCGA-AA-A010-01A-01W-A00E-09	0	0	6884	1011	0
TCGA-AA-A017-01A-01W-A00E-09	0	33	0	0	18
TCGA-AA-A01C-01A-01W-A00E-09	22	45	0	0	10
TCGA-AA-A01I-01A-02W-A00E-09	25	65	10	5	6
TCGA-AA-A01K-01A-01W-A00E-09	58	51	0	0	30
TCGA-AA-A01P-01A-21D-A17O-10	0	408	36	396	0
TCGA-AA-A01P-01A-21W-A096-10	25	254	35	225	18
TCGA-AA-A01S-01A-21W-A096-10	9	41	2	7	4
TCGA-AA-A01T-01A-21W-A096-10	33	52	0	0	11
TCGA-AA-A01V-01A-23W-A096-10	24	68	17	8	7
TCGA-AA-A01X-01A-21W-A096-10	16	57	0	0	0
TCGA-AA-A01Z-01A-11W-A096-10	19	69	0	0	7
TCGA-AA-A022-01A-21D-A17O-10	0	835	0	643	0
TCGA-AA-A022-01A-21W-A096-10	0	695	0	566	0
TCGA-AA-A024-01A-02W-A00E-09	11	48	3	5	12
TCGA-AA-A029-01A-01W-A00E-09	24	48	13	0	0
TCGA-AA-A02E-01A-01W-A00E-09	52	66	4	9	31
TCGA-AA-A02H-01A-01W-A00E-09	9	34	14	7	9
TCGA-AA-A02J-01A-01W-A00E-09	27	43	26	4	27
TCGA-AA-A02K-01A-21W-A096-10	31	68	5	20	15
TCGA-AA-A02O-01A-21W-A096-10	25	122	0	0	18
TCGA-AA-A02R-01A-01W-A00E-09	67	383	23	569	22
TCGA-AA-A02W-01A-01W-A00E-09	25	57	1	9	3
TCGA-AA-A02Y-01A-43W-A096-10	21	55	22	0	14
TCGA-AA-A03J-01A-21W-A096-10	20	57	13	0	11
TCGA-AD-6548-01A-11D-1835-10	24	85	0	0	20
TCGA-AD-6889-01A-11D-1924-10	97	612	16	905	8
TCGA-AD-6890-01A-11D-1924-10	16	85	0	0	10
TCGA-AD-6895-01A-11D-1924-10	0	750	0	833	153
TCGA-AD-6901-01A-11D-1924-10	51	122	30	29	38
TCGA-AD-6963-01A-11D-1924-10	0	43	0	15	17
TCGA-AD-6964-01A-11D-1924-10	0	342	0	1281	0
TCGA-AD-6965-01A-11D-1924-10	17	82	9	15	10
TCGA-AD-A5EJ-01A-11D-A28G-10	90	510	31	798	9
TCGA-AD-A5EK-01A-11D-A28G-10	29	62	0	0	13
TCGA-AM-5820-01A-01D-1650-10	13	43	5	1	4
TCGA-AM-5821-01A-01D-1650-10	0	480	0	742	0
TCGA-AU-6004-01A-11D-1719-10	0	477	39	378	0
TCGA-AY-4070-01A-01W-1073-09	63	37	11	30	8
TCGA-AY-4071-01A-01W-1073-09	33	56	11	1	20
TCGA-AY-5543-01A-01D-1650-10	19	70	14	8	8
TCGA-AY-6197-01A-11D-1719-10	39	268	35	722	8
TCGA-AY-6386-01A-21D-1719-10	0	89	11	0	12
TCGA-AY-A54L-01A-11D-A28G-10	38	64	12	24	10
TCGA-AY-A69D-01A-11D-A36X-10	46	126	35	0	0
TCGA-AY-A71X-01A-12D-A36X-10	7	61	11	4	3
TCGA-AY-A8YK-01A-11D-A40P-10	0	47	6	26	0
TCGA-AZ-4308-01A-01D-1408-10	15	31	11	4	7
TCGA-AZ-4313-01A-01D-1408-10	0	1178	0	0	0
TCGA-AZ-4315-01A-01D-1408-10	0	1017	6195	0	0
TCGA-AZ-4614-01A-01D-1408-10	68	102	0	0	21
TCGA-AZ-4615-01A-01D-1408-10	0	462	0	512	0
TCGA-AZ-4681-01A-01D-1408-10	23	46	0	0	10
TCGA-AZ-4682-01B-01D-1408-10	0	67	13	0	11
TCGA-AZ-4684-01A-01D-1408-10	22	51	0	0	10
TCGA-AZ-5403-01A-01D-1650-10	10	35	16	8	8
TCGA-AZ-5407-01A-01D-1719-10	30	72	0	0	0
TCGA-AZ-6598-01A-11D-1771-10	0	914	0	1261	0
TCGA-AZ-6599-01A-11D-1771-10	10	75	27	25	126
TCGA-AZ-6600-01A-11D-1771-10	37	76	14	0	15
TCGA-AZ-6601-01A-11D-1771-10	0	1475	0	907	0
TCGA-AZ-6603-01A-11D-1835-10	0	51	16	0	8
TCGA-AZ-6605-01A-11D-1835-10	8	46	15	18	17
TCGA-AZ-6606-01A-11D-1835-10	22	89	1	3	26
TCGA-AZ-6607-01A-11D-1835-10	18	45	0	0	14
TCGA-AZ-6608-01A-11D-1835-10	49	60	2	17	22
TCGA-CA-5254-01A-21D-1835-10	55	134	0	0	14
TCGA-CA-5255-01A-11D-1835-10	11	18	6	5	4
TCGA-CA-5256-01A-01D-1408-10	14	66	0	0	0
TCGA-CA-5797-01A-01D-1650-10	22	31	0	0	13
TCGA-CA-6715-01A-21D-1835-10	24	45	14	0	0
TCGA-CA-6718-01A-11D-1835-10	0	0	3917	0	0
TCGA-CA-6719-01A-11D-1835-10	10	77	17	6	4
TCGA-CK-4947-01B-11D-1650-10	24	77	0	0	0
TCGA-CK-4948-01B-11D-1650-10	26	74	0	0	8
TCGA-CK-5912-01A-11D-1650-10	0	47	0	0	10
TCGA-CK-5913-01A-11D-1650-10	0	434	0	351	0
TCGA-CK-5914-01A-11D-1650-10	20	86	12	14	10
TCGA-CK-5915-01A-11D-1650-10	0	88	0	0	0
TCGA-CK-5916-01A-11D-1650-10	0	724	0	661	0
TCGA-CK-6746-01A-11D-1835-10	10	403	35	674	2
TCGA-CK-6747-01A-11D-1835-10	5	95	14	1	11
TCGA-CM-4743-01A-01D-1719-10	97	519	0	498	0
TCGA-CM-4744-01A-01D-1408-10	33	102	14	0	0
TCGA-CM-4746-01A-01D-1408-10	0	486	0	236	0
TCGA-CM-4747-01A-01D-1408-10	4	72	1	13	10
TCGA-CM-4750-01A-01D-1408-10	30	61	0	0	0
TCGA-CM-4751-01A-02D-1835-10	0	75	0	19	0
TCGA-CM-4752-01A-01D-1408-10	0	111	20	0	0
TCGA-CM-5341-01A-01D-1408-10	27	111	0	0	23
TCGA-CM-5348-01A-21D-1719-10	21	104	26	3	33
TCGA-CM-5349-01A-21D-1719-10	0	87	17	0	0
TCGA-CM-5860-01A-01D-1650-10	24	73	11	0	9
TCGA-CM-5861-01A-01D-1650-10	14	394	34	958	12
TCGA-CM-5862-01A-01D-1650-10	7	68	1	7	8
TCGA-CM-5864-01A-01D-1650-10	72	73	17	30	15
TCGA-CM-5868-01A-01D-1650-10	14	51	9	18	8
TCGA-CM-6161-01A-11D-1650-10	27	72	0	0	0
TCGA-CM-6163-01A-11D-1650-10	22	69	0	0	15
TCGA-CM-6164-01A-11D-1650-10	14	37	13	6	6
TCGA-CM-6165-01A-11D-1650-10	47	45	1	12	4
TCGA-CM-6167-01A-11D-1650-10	22	57	0	0	0
TCGA-CM-6168-01A-11D-1650-10	58	94	4	44	20
TCGA-CM-6169-01A-11D-1650-10	25	73	3	7	4
TCGA-CM-6170-01A-11D-1650-10	0	58	0	18	22
TCGA-CM-6171-01A-11D-1650-10	0	712	0	459	0
TCGA-CM-6172-01A-11D-1650-10	19	60	14	0	13
TCGA-CM-6675-01A-11D-1835-10	29	49	0	0	0
TCGA-CM-6676-01A-11D-1835-10	9	67	14	8	6
TCGA-CM-6677-01A-11D-1835-10	13	96	16	11	6
TCGA-CM-6678-01A-11D-1835-10	28	116	0	0	0
TCGA-CM-6679-01A-11D-1835-10	0	38	0	21	8
TCGA-CM-6680-01A-11D-1835-10	13	59	10	0	8
TCGA-D5-5537-01A-21D-1924-10	18	59	12	11	4
TCGA-D5-5538-01A-01D-1650-10	42	61	6	3	4
TCGA-D5-5540-01A-01D-1650-10	18	82	8	0	11
TCGA-D5-5541-01A-01D-1650-10	0	56	8	0	0
TCGA-D5-6529-01A-11D-1771-10	0	91	22	0	0
TCGA-D5-6530-01A-11D-1719-10	0	536	0	454	0
TCGA-D5-6531-01A-11D-1719-10	29	124	19	0	18
TCGA-D5-6532-01A-11D-1719-10	11	63	15	3	32
TCGA-D5-6533-01A-11D-1719-10	48	81	23	0	25
TCGA-D5-6535-01A-11D-1719-10	52	71	15	3	35
TCGA-D5-6536-01A-11D-1719-10	16	55	1	18	7
TCGA-D5-6537-01A-11D-1719-10	28	66	18	0	0
TCGA-D5-6538-01A-11D-1719-10	5	100	7	23	12
TCGA-D5-6539-01A-11D-1719-10	17	49	11	8	14
TCGA-D5-6541-01A-11D-1719-10	0	96	0	0	0
TCGA-D5-6898-01A-11D-1924-10	23	53	6	0	0
TCGA-D5-6920-01A-11D-1924-10	8	69	2	14	21
TCGA-D5-6922-01A-11D-1924-10	0	75	0	15	17
TCGA-D5-6924-01A-11D-1924-10	43	79	0	0	18
TCGA-D5-6926-01A-11D-1924-10	17	74	0	0	21
TCGA-D5-6927-01A-21D-1924-10	0	240	0	411	0
TCGA-D5-6929-01A-31D-1924-10	42	44	1	16	22
TCGA-D5-6931-01A-11D-1924-10	47	130	36	76	33
TCGA-D5-6932-01A-11D-1924-10	45	59	11	6	11
TCGA-DM-A0X9-01A-11D-A152-10	37	100	26	7	21
TCGA-DM-A0XD-01A-12D-A152-10	21	93	16	18	23
TCGA-DM-A0XF-01A-11D-A152-10	61	38	14	1	17
TCGA-DM-A1D0-01A-11D-A152-10	37	71	0	0	16
TCGA-DM-A1D4-01A-21D-A152-10	32	131	10	6	8
TCGA-DM-A1D8-01A-11D-A152-10	57	67	13	15	11
TCGA-DM-A1D9-01A-11D-A152-10	49	57	12	0	16
TCGA-DM-A1DA-01A-11D-A152-10	121	115	10	33	18
TCGA-DM-A1DB-01A-11D-A152-10	6	35	5	3	12
TCGA-DM-A28C-01A-11D-A16V-10	21	66	0	0	15
TCGA-DM-A28E-01A-11D-A16V-10	9	49	15	2	7
TCGA-DM-A28F-01A-11D-A16V-10	59	82	26	38	43
TCGA-DM-A28G-01A-11D-A16V-10	25	81	5	9	9
TCGA-DM-A28H-01A-11D-A16V-10	7	61	10	14	28
TCGA-DM-A28M-01A-12D-A16V-10	8	67	7	5	6
TCGA-F4-6459-01A-11D-1771-10	26	55	16	1	29
TCGA-F4-6460-01A-11D-1771-10	40	64	21	13	18
TCGA-F4-6461-01A-11D-1771-10	24	76	9	30	10
TCGA-F4-6569-01A-11D-1771-10	21	61	24	0	15
TCGA-F4-6570-01A-11D-1771-10	57	657	54	807	32
TCGA-F4-6805-01A-11D-1835-10	16	48	2	4	1
TCGA-F4-6806-01A-11D-1835-10	15	75	7	1	10
TCGA-F4-6807-01A-11D-1835-10	116	43	3	3	8
TCGA-F4-6808-01A-11D-1835-10	55	83	0	0	0
TCGA-F4-6854-01A-11D-1924-10	48	48	3	5	15
TCGA-F4-6855-01A-11D-1924-10	27	56	6	3	17
TCGA-G4-6293-01A-11D-1719-10	20	70	12	8	12
TCGA-G4-6294-01A-11D-1806-10	41	62	6	30	21
TCGA-G4-6295-01A-11D-1719-10	48	66	10	10	17
TCGA-G4-6297-01A-11D-1719-10	0	67	22	0	0
TCGA-G4-6298-01A-11D-1719-10	17	60	0	0	0
TCGA-G4-6299-01A-11D-1771-10	40	72	11	25	15
TCGA-G4-6303-01A-11D-1771-10	0	85	21	0	0
TCGA-G4-6304-01A-11D-1924-10	3	365	25	471	10
TCGA-G4-6306-01A-11D-1771-10	17	74	6	22	5
TCGA-G4-6307-01A-11D-1719-10	17	34	14	7	6
TCGA-G4-6309-01A-21D-1835-10	0	542	0	206	0
TCGA-G4-6310-01A-11D-1719-10	15	71	13	4	7
TCGA-G4-6311-01A-11D-1719-10	60	73	6	3	10
TCGA-G4-6314-01A-11D-1719-10	9	99	11	11	21
TCGA-G4-6315-01A-11D-1719-10	42	91	5	1	13
TCGA-G4-6317-01A-11D-1719-10	0	92	0	0	15
TCGA-G4-6317-02A-11D-2067-10	35	56	9	17	14
TCGA-G4-6320-01A-11D-1719-10	98	629	27	295	10
TCGA-G4-6321-01A-11D-1719-10	16	41	6	0	0
TCGA-G4-6323-01A-11D-1719-10	0	55	0	24	8
TCGA-G4-6586-01A-11D-1771-10	0	612	0	480	0
TCGA-G4-6588-01A-11D-1771-10	4	673	16	1309	21
TCGA-G4-6626-01A-11D-1771-10	26	104	0	0	10
TCGA-G4-6627-01A-11D-2188-10	30	59	0	0	0
TCGA-G4-6628-01A-11D-1835-10	18	724	9	1181	11
TCGA-J2-8192-01A-11D-2238-08	18	16	19	5	16
TCGA-J2-8194-01A-11D-2238-08	116	25	0	0	17
TCGA-J2-A4AD-01A-11D-A24D-08	119	11	8	30	177
TCGA-J2-A4AE-01A-21D-A24D-08	0	16	0	13	27
TCGA-J2-A4AG-01A-11D-A24D-08	60	9	0	0	12
TCGA-L4-A4E5-01A-11D-A24P-08	326	14	0	0	23
TCGA-L4-A4E6-01A-11D-A24D-08	6	0	0	0	2
TCGA-L9-A443-01A-12D-A24D-08	229	0	0	0	26
TCGA-L9-A50W-01A-12D-A397-08	9	2	2	4	16
TCGA-L9-A5IP-01A-21D-A397-08	242	1	9	24	26
TCGA-L9-A743-01A-43D-A397-08	52	0	13	0	56
TCGA-L9-A7SV-01A-11D-A397-08	1623	2	19	43	50
TCGA-L9-A8F4-01A-11D-A397-08	689	21	9	11	90
TCGA-MN-A4N1-01A-11D-A24P-08	384	27	16	5	40
TCGA-MN-A4N4-01A-12D-A24P-08	1021	6	64	33	404
TCGA-MN-A4N5-01A-11D-A24P-08	363	0	0	52	61
TCGA-MP-A4SV-01A-11D-A24P-08	156	2	17	36	142
TCGA-MP-A4SW-01A-21D-A24P-08	20	28	0	0	19
TCGA-MP-A4SY-01A-21D-A24P-08	92	9	6	6	43
TCGA-MP-A4T2-01A-11D-A24P-08	24	0	0	27	37
TCGA-MP-A4T4-01A-11D-A25L-08	316	7	7	32	39
TCGA-MP-A4T6-01A-32D-A25L-08	12	19	10	2	35
TCGA-MP-A4T7-01A-11D-A24P-08	116	10	6	3	6
TCGA-MP-A4T8-01A-11D-A24P-08	85	10	1	4	14
TCGA-MP-A4T9-01A-11D-A24P-08	14	3	4	6	8
TCGA-MP-A4TA-01A-21D-A24P-08	262	0	0	66	42
TCGA-MP-A4TC-01A-11D-A24P-08	210	0	0	25	36
TCGA-MP-A4TD-01A-32D-A25L-08	57	8	0	11	8
TCGA-MP-A4TE-01A-22D-A25L-08	91	37	3	6	7
TCGA-MP-A4TF-01A-11D-A25L-08	362	11	5	21	36
TCGA-MP-A4TH-01A-31D-A25L-08	73	11	6	13	10
TCGA-MP-A4TK-01A-11D-A24P-08	284	7	5	6	65
TCGA-MP-A5C7-01A-11D-A25L-08	39	12	8	10	6
TCGA-NH-A50T-01A-11D-A28G-10	0	119	29	0	0
TCGA-NH-A50V-01A-11D-A28G-10	30	116	8	12	4
TCGA-NH-A5IV-01A-42D-A36X-10	0	1136	0	1146	0
TCGA-NH-A6GB-01A-11D-A36X-10	34	102	10	7	13
TCGA-NH-A8F7-01A-11D-A40P-10	35	74	12	0	10
TCGA-NH-A8F7-06A-31D-A40P-10	0	79	20	0	11
TCGA-NH-A8F8-01A-72D-A40P-10	34	71	0	0	0
TCGA-NJ-A4YF-01A-12D-A25L-08	601	0	0	0	44
